Linux 3.2.0-30-virtual (14f431ee-8e10-439a-8a04-f57f71d97a86) 	12/07/2013 	_x86_64_	(4 CPU)

12:37:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:00:36 PM     all      0.60      0.00      0.15      0.45      0.00     98.80
01:00:41 PM     all      0.40      0.00      0.55      0.20      0.00     98.84
01:00:46 PM     all      0.80      0.00      0.15      0.35      0.00     98.70
01:00:51 PM     all      1.31      0.00      0.50      0.20      0.00     97.99
01:00:56 PM     all      2.21      0.00      0.80      0.40      0.00     96.58
01:01:01 PM     all      0.60      0.00      0.30      0.25      0.00     98.84
01:01:06 PM     all      0.60      0.00      0.20      0.45      0.00     98.75
01:01:11 PM     all      0.96      0.00      0.46      0.20      0.00     98.38
01:01:16 PM     all      0.75      0.00      0.15      0.10      0.00     99.00
01:01:21 PM     all      0.85      0.00      0.30      0.35      0.00     98.49
01:01:26 PM     all      1.56      0.00      0.50      0.20      0.00     97.74
01:01:31 PM     all      0.70      0.00      0.40      0.45      0.00     98.44
01:01:36 PM     all      0.50      0.00      0.30      0.10      0.00     99.10
01:01:41 PM     all      0.70      0.00      0.30      0.40      0.00     98.59
01:01:46 PM     all      0.65      0.00      0.25      0.10      0.00     99.00
01:01:51 PM     all      0.70      0.00      0.30      0.45      0.00     98.54
01:01:56 PM     all      2.42      0.00      0.66      0.20      0.00     96.72
01:02:01 PM     all      1.31      0.00      0.45      0.45      0.00     97.79
01:02:06 PM     all      0.60      0.00      0.25      0.10      0.00     99.05
01:02:11 PM     all      1.26      0.00      0.60      0.50      0.00     97.63
01:02:16 PM     all      0.75      0.00      0.30      0.15      0.00     98.80
01:02:21 PM     all      0.70      0.00      0.25      0.50      0.00     98.54
01:02:26 PM     all      0.70      0.00      0.20      0.40      0.00     98.69
01:02:31 PM     all      1.61      0.00      0.45      0.35      0.00     97.58
01:02:36 PM     all      0.80      0.00      0.15      0.10      0.00     98.95
01:02:41 PM     all      0.50      0.00      0.30      0.30      0.00     98.90
01:02:46 PM     all      0.65      0.00      0.30      0.20      0.00     98.85
01:02:51 PM     all      0.65      0.00      0.10      0.45      0.00     98.79
01:02:56 PM     all      2.01      0.00      0.80      0.30      0.00     96.89
01:03:01 PM     all      0.70      0.00      0.40      0.35      0.00     98.55
01:03:06 PM     all      1.31      0.00      0.50      0.10      0.00     98.09
01:03:11 PM     all      0.91      0.00      0.35      0.30      0.00     98.43
01:03:16 PM     all      0.70      0.00      0.25      0.15      0.00     98.90
01:03:21 PM     all      0.70      0.00      0.20      0.25      0.00     98.84
01:03:26 PM     all      0.70      0.00      0.15      0.45      0.00     98.70
01:03:31 PM     all      0.60      0.00      0.40      0.55      0.00     98.44
01:03:36 PM     all      1.05      0.00      0.35      0.20      0.00     98.39
01:03:41 PM     all      1.26      0.00      0.40      0.25      0.00     98.09
01:03:46 PM     all      0.80      0.00      0.25      0.35      0.00     98.60
01:03:51 PM     all      0.70      0.00      0.25      0.20      0.00     98.84
